id	damage	interval	ability	plantFood	lvl2	lvl3	lvl4
sunflower	0	24	تولید ۵۰ خورشید هر ۲۴ ثانیه.	تولید فوری ۱۵۰ خورشید.	Prod. Time -2s	HP +150	Double Sun Chance
twin-sunflower	0	24	تولید ۱۰۰ خورشید در هر دور.	تولید فوری ۲۵۰ خورشید.	Prod. Time -2s	HP +150	Cost -25
sun-shroom	0	24	رشد در ۳ مرحله و تولید خورشید بیشتر(۲۵/۵۰/۷۵). To Stg2: 24s | To Stg3: 72s	رشد آنی به سایز آخر و تولید ۲۲۵ خورشید.	Grow Time -5s	HP +150	Double Sun Chance
primal-sunflower	0	24	تولید خورشید بزرگ ۷۵ تایی از ابتدا.	تولید فوری ۲۲۵ خورشید.	Prod. Time -2s	HP +150	Cost -25
gold-bloom	0	0	تولید فوری و یک‌باره مقدار زیادی خورشید و سپس ناپدید شدن.(۳۷۵ خورشید)	ندارد (مصرفی آنی)	Cooldown -5s	Sun +50	Cost -25
peashooter	20	1.5	شلیک تیر مستقیم.	شلیک رگباری سریع برای چند ثانیه.	Dmg +10	HP +150	Cost -25
repeater	20x2	1.5	شلیک ۲ تیر مستقیم متوالی.	شلیک رگباری سنگین + ۱ نخود غول‌پیکر (دمیج 20 برابر).	Dmg +10	HP +200	Cost -25
threepeater	20	1.5	شلیک همزمان تیر در ۳ لاین موازی.	شلیک رگباری بادبزنی در تمام لاین‌ها.	Cost -25	Dmg +10	HP +200
snow-pea	20	1.5	شلیک تیر مستقیم کندکننده سرعت.	انجماد لاین و شلیک رگباری یخی.	Dmg +10	Chill Time +2s	Cost -25
rotobaga	10x3	1.5	شلیک در ۴ جهت اریب.	شلیک رگباری در هر ۴ جهت اریب.	Dmg +10	HP +150	Cost -25
pea-pod	20/40/60/80/100	1.5	شلیک تیر مستقیم به ازای هر سر کاشته شده روی هم (تا ۵ سر).	شلیک یک نخود غول‌پیکر به ازای هر سر(دمیج 20 برابر).	Dmg +10	HP +200	Cost -25
split-pea	20	1.5	شلیک ۱ تیر به جلو و ۲ تیر به عقب.	شلیک رگباری همزمان از جلو و عقب.	Dmg +10	HP +200	Cost -25
citron	800	9	شلیک تیر سنگین مستقیم (نیازمند زمان شارژ).	شلیک توپ پلاسمایی پاکسازی‌کننده کل لاین.	Charge Time -1s	Dmg +150	Cost -50
caulipower	Insta-kill	12	شلیک تیر جادویی (جهت رندوم، عبور از موانع، هیپنوتیزم‌کننده).	هیپنوتیزم کردن چند زامبی تصادفی در باغچه.	Cooldown -2s	HP +150	Cost -50
